1433379185,Jan,(12,2),(1,5),(13,3),(8,1),(9,7)
1525791835,Janusz,(14,1),(4,7),(2,6),(3,1),(13,6)
1525451835,Jan,(5,1),(12,2),(2,2),(13,1),(3,2)
1523444835,Paweł,(11,1),(11,2),(1,5),(4,1),(6,2)
1525791835,Paweł,(1,3),(11,3),(11,5),(4,2),(7,2)
1225757835,Janusz,(1,1),(1,3),(1,2),(13,2),(3,1)
3432791835,Jan,(1,3),(11,6),(1,0),(8,2),(5,1)
1525791835,Janusz,(1,7),(4,0),(2,2),(5,1),(3,2)
4232551835,Jan,(5,1),(12,0),(4,3),(3,1),(3,2)
4525342835,Paweł,(9,1),(1,2),(5,3),(4,7),(6,2)
5425791835,Paweł,(1,3),(11,3),(1,6),(3,1),(7,2)
6525757835,Janusz,(1,7),(13,1),(1,7),(3,1),(3,1)
1755791835,Jan,(11,3),(1,2),(11,0),(8,1),(9,2)
1525791835,Janusz,(1,0),(9,3),(1,8),(3,1),(3,2)
1525757835,Janusz,(5,1),(3,2),(1,2),(3,1),(3,1)
1755791835,Jan,(1,3),(1,2),(1,0),(8,3),(9,2)
1525791835,Janusz,(11,0),(9,3),(1,4),(3,1),(3,2)
1524518335,Jan,(5,1),(2,1),(2,3),(3,1),(3,2)
1212214835,Paweł,(11,1),(1,6),(13,3),(4,1),(6,2)
1525767835,Paweł,(11,2),(4,1),(11,3),(3,1),(7,2)


